Hurricane,Wind,Year,Category
"""Cuba""",270,1924,5
"""San Felipe II",260,1928,5
"""Bahamas""",260,1932,5
"""Camagüey""",280,1932,5
"""Cuba–Brownsville""",260,1933,5
"""Tampico""",260,1933,5
"""Labor Day""",295,1935,5
"""New England""",260,1938,5
Carol,260,1953,5
Janet,280,1955,5
Esther,260,1961,5
Hattie,270,1961,5
Beulah,260,1967,5
Camille,280,1969,5
Edith,260,1971,5
Anita,280,1977,5
David,280,1979,5
Allen,305,1980,5
Gilbert,295,1988,5
Hugo,260,1989,5
Andrew,280,1992,5
Mitch,285,1998,5
Isabel,270,2003,5
Ivan,270,2004,5
Emily,260,2005,5
Katrina,280,2005,5
Rita,285,2005,5
Wilma,295,2005,5
Dean,280,2007,5
Felix,280,2007,5
Matthew,270,2016,5
Irma,285,2017,5
Maria,280,2017,5
Michael,260,2018,5
Dorian,295,2019,5
Lorenzo,260,2019,5
Charlie,215,1951,4
Easy,240,1951,4
Fox,230,1952,4
Hazel,215,1954,4
Connie,220,1955,4
Ione,220,1955,4
Carrie,220,1957,4
Cleo,220,1958,4
Daisy,215,1958,4
Helene,240,1958,4
Gracie,220,1959,4
Donna,230,1960,4
Betsy,215,1961,4
Carla,233,1961,4
Frances,215,1961,4
Flora,240,1963,4
Cleo,240,1964,4
Dora,215,1964,4
Gladys,215,1964,4
Hilda,220,1964,4
Betsy,220,1965,4
Inez,240,1966,4
Carmen,240,1974,4
Gladys,220,1975,4
Ella,220,1978,4
Greta,215,1978,4
Frederic,215,1979,4
Harvey,215,1981,4
Debby,215,1982,4
Diana,215,1984,4
Gloria,230,1985,4
Helene,230,1988,4
Joan,230,1988,4
Gabrielle,230,1989,4
Claudette,215,1991,4
Felix,220,1995,4
Luis,240,1995,4
Opal,240,1995,4
Edouard,230,1996,4
Hortense,220,1996,4
Georges,250,1998,4
Bret,230,1999,4
Cindy,220,1999,4
Floyd,250,1999,4
Gert,240,1999,4
Lenny,250,1999,4
Isaac,220,2000,4
Keith,220,2000,4
Iris,230,2001,4
Michelle,220,2001,4
Lili,230,2002,4
Fabian,230,2003,4
Charley,240,2004,4
Frances,230,2004,4
Karl,230,2004,4
Dennis,240,2005,4
Gustav,250,2008,4
Ike,230,2008,4
Omar,215,2008,4
Paloma,230,2008,4
Bill,215,2009,4
Danielle,215,2010,4
Earl,230,2010,4
Igor,250,2010,4
Julia,220,2010,4
Katia,220,2011,4
Ophelia,220,2011,4
Gonzalo,230,2014,4
Joaquin,250,2015,4
Nicole,220,2016,4
Harvey,215,2017,4
Jose,250,2017,4
Florence,240,2018,4
Laura,240,2020,4
Teddy,220,2020,4
Delta,220,2020,4
Eta,240,2020,4
Iota,250,2020,4
Ida,240,2021,4
Hurricane #3,240,1853,4
"""1856 Last Island hurricane""",240,1856,4
Hurricane #6,220,1866,4
Hurricane #7,220,1878,4
Hurricane #2,240,1880,4
Hurricane #8,220,1880,4
Hurricane #6,220,1882,4
1886 Indianola hurricane,240,1886,4
Hurricane #10,215,1893,4
Hurricane #6,215,1894,4
1898 Georgia hurricane,215,1898,4
1899 San Ciriaco hurricane,240,1899,4
1900 Galveston hurricane,230,1900,4
Hurricane #4,215,1906,4
1910 Cuba hurricane,240,1910,4
1915 Galveston hurricane,230,1915,4
1915 New Orleans hurricane,230,1915,4
1916 Texas hurricane,215,1916,4
1917 Nueva Gerona hurricane,240,1917,4
1919 Florida Keys hurricane,240,1919,4
1921 Tampa Bay hurricane,220,1921,4
1926 Nassau hurricane,220,1926,4
Hurricane #4,220,1926,4
1926 Miami hurricane,240,1926,4
1926 Havana–Bermuda hurricane,240,1926,4
1929 Bahamas hurricane,250,1929,4
1930 Dominican Republic hurricane,250,1930,4
1931 British Honduras hurricane,215,1931,4
1932 Freeport hurricane,240,1932,4
1932 San Ciprián hurricane,230,1932,4
1933 Chesapeake–Potomac hurricane,220,1933,4
1933 Treasure Coast hurricane,220,1933,4
1933 Outer Banks hurricane,220,1933,4
Hurricane #2,215,1935,4
1935 Cuba hurricane,220,1935,4
Hurricane #5,220,1939,4
Hurricane #4,215,1941,4
Hurricane #3,220,1943,4
1944 Great Atlantic hurricane,230,1944,4
1944 Cuba–Florida hurricane,230,1944,4
1945 Homestead hurricane,215,1945,4
1947 Fort Lauderdale hurricane,230,1947,4
1948 Bermuda–Newfoundland hurricane,215,1948,4
September 1948 Florida hurricane,215,1948,4
1949 Florida hurricane,215,1949,4
Hurricane Dog,230,1950,4
Hurricane Fox,220,1950,4
Hurricane King,215,1950,4
